Player,Team,Pos,Injury,Status,Est. Return
Steven Adams,MEM,C,Knee,Out For Season,Subscribers Only
Grayson Allen,PHX,G,Ankle,Game Time Decision,Subscribers Only
OG Anunoby,NYK,F,Elbow,Game Time Decision,Subscribers Only
Lonzo Ball,CHI,G,Knee,Out For Season,Subscribers Only
LaMelo Ball,CHA,G,Ankle,Game Time Decision,Subscribers Only
Desmond Bane,MEM,G,Ankle,Out,Subscribers Only
RJ Barrett,TOR,F,Knee,Out,Subscribers Only
Charles Bassey,SAS,C,Knee,Out For Season,Subscribers Only
Bol Bol,PHX,F,Foot,Game Time Decision,Subscribers Only
Moses Brown,POR,C,Wrist,Out,Subscribers Only
Vlatko Cancar,DEN,F,Knee,Out,Subscribers Only
Malcolm Cazalon,DET,G,Ankle,Game Time Decision,Subscribers Only
Sidy Cissoko,SAS,G,Ankle,Game Time Decision,Subscribers Only
Jaylen Clark,MIN,G,Achilles,Game Time Decision,Subscribers Only
Brandon Clarke,MEM,F,Achilles,Out,Subscribers Only
Zach Collins,SAS,C,Ankle,Game Time Decision,Subscribers Only
Mike Conley,MIN,G,Hamstring,Game Time Decision,Subscribers Only
Robert Covington,PHI,F,Knee,Out,Subscribers Only
Torrey Craig,CHI,F,Heel,Out,Subscribers Only
Cade Cunningham,DET,G,Knee,Game Time Decision,Subscribers Only
Anthony Davis,LAL,C,Achilles,Out,Subscribers Only
Moussa Diabate,LAC,F,Hand,Out,Subscribers Only
Tari Eason,HOU,F,Lower Leg,Game Time Decision,Subscribers Only
Joel Embiid,PHI,C,Knee,Game Time Decision,Subscribers Only
Dante Exum,DAL,G,Knee,Game Time Decision,Subscribers Only
Bruno Fernando,ATL,C,Back,Out,Subscribers Only
Dorian Finney-Smith,BKN,F,Ankle,Game Time Decision,Subscribers Only
Evan Fournier,NYK,G,Personal,Out,Subscribers Only
Darius Garland,CLE,G,Jaw,Game Time Decision,Subscribers Only
Mouhamed Gueye,ATL,C,Back,Out,Subscribers Only
Tyrese Haliburton,IND,G,Hamstring,Game Time Decision,Subscribers Only
Gary Harris,ORL,G,Calf,Out,Subscribers Only
Gordon Hayward,CHA,F,Calf,Game Time Decision,Subscribers Only
Malcolm Hill,NOP,F,Undisclosed,Game Time Decision,Subscribers Only
Al Horford,BOS,C,Neck,Out,Subscribers Only
De'Andre Hunter,ATL,F,Knee,Game Time Decision,Subscribers Only
Kyrie Irving,DAL,G,Thumb,Game Time Decision,Subscribers Only
LeBron James,LAL,F,Ankle,Game Time Decision,Subscribers Only
Ty Jerome,CLE,G,Ankle,Out,Subscribers Only
Isaiah Joe,OKC,G,Undisclosed,Game Time Decision,Subscribers Only
Derrick Jones,DAL,F,Wrist,Game Time Decision,Subscribers Only
Luke Kennard,MEM,G,Knee,Game Time Decision,Subscribers Only
John Konchar,MEM,G,Ankle,Game Time Decision,Subscribers Only
Luke Kornet,BOS,C,Hamstring,Game Time Decision,Subscribers Only
Vit Krejci,ATL,G,Shoulder,Out,Subscribers Only
Jake LaRavia,MEM,F,Ankle,Out,Subscribers Only
Zach LaVine,CHI,F,Ankle,Out,Subscribers Only
Damion Lee,PHX,G,Knee,Out,Subscribers Only
Isaiah Livers,WAS,F,Hip,Game Time Decision,Subscribers Only
Kenneth Lofton,PHI,C,Personal,Game Time Decision,Subscribers Only
Kyle Lowry,CHA,G,Not Injury Related,Out,Subscribers Only
Bennedict Mathurin,IND,F,Toe,Game Time Decision,Subscribers Only
Tyrese Maxey,PHI,G,Ankle,Game Time Decision,Subscribers Only
T.J. McConnell,IND,G,Achilles,Out,Subscribers Only
De'Anthony Melton,PHI,G,Back,Out,Subscribers Only
Moses Moody,GSW,F,Calf,Out,Subscribers Only
Ja Morant,MEM,G,Shoulder,Out For Season,Subscribers Only
Dejounte Murray,ATL,G,Hamstring,Game Time Decision,Subscribers Only
Markquis Nowell,TOR,G,Hamstring,Out,Subscribers Only
Victor Oladipo,HOU,G,Knee,Out,Subscribers Only
Chris Paul,GSW,G,Hand,Out,Subscribers Only
Gary Payton,GSW,G,Hamstring,Out,Subscribers Only
Jakob Poeltl,TOR,C,Ankle,Game Time Decision,Subscribers Only
Kristaps Porzingis,BOS,F,Ankle,Game Time Decision,Subscribers Only
Immanuel Quickley,TOR,G,Quadriceps,Game Time Decision,Subscribers Only
Julius Randle,NYK,F,Shoulder,Out,Subscribers Only
Cam Reddish,LAL,F,Ankle,Out,Subscribers Only
Mitchell Robinson,NYK,C,Ankle,Out,Subscribers Only
Duncan Robinson,MIA,F,Illness,Game Time Decision,Subscribers Only
Derrick Rose,MEM,G,Hamstring,Game Time Decision,Subscribers Only
Day'Ron Sharpe,BKN,C,Knee,Game Time Decision,Subscribers Only
Shaedon Sharpe,POR,G,Abdomen,Game Time Decision,Subscribers Only
Marcus Smart,MEM,G,Finger,Out,Subscribers Only
Jalen Smith,IND,C,Back,Game Time Decision,Subscribers Only
Dru Smith,MIA,G,Knee,Out For Season,Subscribers Only
Isaiah Stewart,DET,C,Ankle,Game Time Decision,Subscribers Only
Julian Strawther,DEN,F,Knee,Game Time Decision,Subscribers Only
Tristan Thompson,CLE,C,Suspension,Out,Subscribers Only
Myles Turner,IND,C,Back,Game Time Decision,Subscribers Only
Sasha Vezenkov,SAC,F,Ankle,Game Time Decision,Subscribers Only
Gabe Vincent,LAL,G,Knee,Out,Subscribers Only
Duane Washington,NYK,G,Thumb,Game Time Decision,Subscribers Only
Dariq Whitehead,BKN,F,Lower Leg,Out For Season,Subscribers Only
Mark Williams,CHA,C,Back,Out,Subscribers Only
Patrick Williams,CHI,F,Foot,Out,Subscribers Only
Jalen Williams,OKC,F,Ankle,Game Time Decision,Subscribers Only
Vince Williams,MEM,F,Knee,Game Time Decision,Subscribers Only
Ziaire Williams,MEM,F,Hand,Game Time Decision,Subscribers Only
Robert Williams,POR,C,Knee,Out For Season,Subscribers Only
Ivica Zubac,LAC,C,Calf,Out,Subscribers Only